날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Jun 25, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,435645,,2422,,0.5559999999999999%,$2580.49,,$1.0654377,$0.0,378,51.696%,1.93,$4991.68
"Jun 25, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,12428,,42,,0.338%,$47.16,,$1.1228571,$0.0,7,63.55800000000001%,1.57,$74.2
"Jun 26, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,188855,,1008,,0.534%,$2233.05,,$2.2153274,$0.0,217,73.26700000000001%,1.36,$3047.83
"Jun 26, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,1830987,,4970,,0.271%,$8600.5,,$1.7304829000000002,$0.0,708,85.64399999999999%,1.17,$10042.16
"Jun 26, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,5272,,43,,0.8160000000000001%,$67.81,,$1.5769767,$0.0,6,118.34199999999998%,0.85,$57.3
"Jun 26, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,미국,ENABLED,USD,$41.0,수동 타겟팅,동적 입찰액 - 감액 전용,274003,,1113,,0.406%,$1904.0,,$1.7106918,$0.0,193,66.141%,1.51,$2878.69
"Jun 26, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,2371,,10,,0.422%,$21.96,,$2.1959999999999997,$0.0,0,0.0%,0.0,$0.0
"Jun 27, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,미국,ENABLED,USD,$41.0,수동 타겟팅,동적 입찰액 - 감액 전용,319,,3,,0.9400000000000001%,$3.2,,$1.0666666999999999,$0.0,0,0.0%,0.0,$0.0
"Jun 27, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,611,,1,,0.164%,$1.05,,$1.05,$0.0,0,0.0%,0.0,$0.0
"Jun 27, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,2,,6,,300.0%,$9.18,,$1.53,$0.0,0,0.0%,0.0,$0.0
"Jun 28, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,0,,1,,0.0%,$1.33,,$1.33,$0.0,0,0.0%,0.0,$0.0
"Jun 28, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,0,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jul 01, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,3183,,31,,0.9740000000000001%,$40.79,,$1.3158064999999999,$0.0,4,78.745%,1.27,$51.8
"Jul 01, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,481,,16,,3.3259999999999996%,$8.14,,$0.50875,$0.0,4,14.613999999999999%,6.84,$55.7
"Jul 01, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,3914,,25,,0.639%,$34.1,,$1.364,$0.0,5,50.971999999999994%,1.96,$66.9
"Jul 01, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,10508,,59,,0.561%,$44.73,,$0.7581355999999999,$0.0,2,257.069%,0.39,$17.4
"Jul 02, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,7719,,54,,0.7000000000000001%,$33.06,,$0.6122222,$0.0,6,29.892000000000003%,3.35,$110.6
"Jul 02, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,397,,4,,1.008%,$1.19,,$0.2975,$0.0,0,0.0%,0.0,$0.0
"Jul 02, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,5917,,99,,1.6729999999999998%,$35.4,,$0.3575758,$0.0,10,24.213%,4.13,$146.2
"Jul 02, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,미국,ENABLED,USD,$41.0,수동 타겟팅,동적 입찰액 - 감액 전용,69,,2,,2.899%,$1.84,,$0.92,$0.0,0,0.0%,0.0,$0.0
"Jul 03, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,6536,,89,,1.362%,$31.73,,$0.3565169,$0.0,20,9.991%,10.01,$317.6
"Jul 03, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,미국,ENABLED,USD,$41.0,수동 타겟팅,동적 입찰액 - 감액 전용,2747,,92,,3.3489999999999998%,$52.13,,$0.5666304,$0.0,9,38.218%,2.62,$136.4
"Jul 03, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,331,,10,,3.021%,$2.94,,$0.294,$0.0,0,0.0%,0.0,$0.0
"Jul 03, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,6485,,52,,0.8019999999999999%,$14.0,,$0.2692308,$0.0,6,11.058%,9.04,$126.6
"Jul 04, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,5571,,52,,0.9329999999999999%,$14.04,,$0.27,$0.0,4,22.682%,4.41,$61.9
"Jul 04, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,5957,,112,,1.8800000000000001%,$39.25,,$0.3504464,$0.0,15,24.516%,4.08,$160.1
"Jul 04, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,미국,ENABLED,USD,$41.0,수동 타겟팅,동적 입찰액 - 감액 전용,3076,,119,,3.869%,$69.71,,$0.5857983,$0.0,20,21.86%,4.57,$318.9
"Jul 04, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,342,,7,,2.0469999999999997%,$1.84,,$0.2628571,$0.0,0,0.0%,0.0,$0.0
"Jul 05, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,6069,,57,,0.9390000000000001%,$14.04,,$0.2463158,$0.0,9,9.385%,10.66,$149.6
"Jul 05, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,382,,7,,1.8319999999999999%,$1.88,,$0.2685714,$0.0,1,14.462%,6.91,$13.0
"Jul 05, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,미국,ENABLED,USD,$41.0,수동 타겟팅,동적 입찰액 - 감액 전용,3346,,128,,3.8249999999999997%,$82.11,,$0.6414844,$0.0,26,21.359%,4.68,$384.42
"Jul 05, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,6695,,153,,2.2849999999999997%,$53.42,,$0.3491503,$0.0,19,19.625%,5.1,$272.2
"Jul 06, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,6351,,110,,1.7319999999999998%,$40.76,,$0.37054549999999997,$0.0,14,20.421%,4.9,$199.6
"Jul 06, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,320,,5,,1.5630000000000002%,$1.26,,$0.252,$0.0,1,6.192%,16.15,$20.35
"Jul 06, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,6486,,71,,1.095%,$17.27,,$0.2432394,$0.0,10,10.587%,9.45,$163.12
"Jul 06, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,미국,ENABLED,USD,$41.0,수동 타겟팅,동적 입찰액 - 감액 전용,3898,,115,,2.9499999999999997%,$65.14,,$0.5664348,$0.0,21,21.361%,4.68,$304.95
"Jul 07, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,7422,,115,,1.549%,$34.83,,$0.3028696,$0.0,20,11.268%,8.87,$309.1
"Jul 07, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,미국,ENABLED,USD,$41.0,수동 타겟팅,동적 입찰액 - 감액 전용,4127,,131,,3.174%,$81.72,,$0.6238168000000001,$0.0,19,25.682%,3.89,$318.2
"Jul 07, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,7246,,172,,2.374%,$60.6,,$0.3523256,$0.0,17,25.093%,3.99,$241.5
"Jul 07, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,354,,16,,4.52%,$6.7,,$0.41875,$0.0,2,22.408%,4.46,$29.9
"Jul 08, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,6018,,105,,1.745%,$39.7,,$0.37809519999999996,$0.0,2,94.976%,1.05,$41.8
"Jul 08, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,5753,,72,,1.252%,$26.11,,$0.36263890000000004,$0.0,10,14.618999999999998%,6.84,$178.6
"Jul 08, 2026",Monthly_ON,Sponsored Products,SP_MIX_DFC_260204_260601,Amazon,미국,ENABLED,USD,$41.0,수동 타겟팅,동적 입찰액 - 감액 전용,2219,,59,,2.659%,$27.68,,$0.46915250000000003,$0.0,16,11.342%,8.82,$244.05
"Jul 08, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,356,,10,,2.809%,$4.71,,$0.47100000000000003,$0.0,4,6.926%,14.44,$68.0
