날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Jun 10, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,1005,,42,,4.179%,$40.06,,$0.9538095,$0.0,3,99.776%,1.0,$40.15
"Jun 10, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,7115,,158,,2.221%,$24.14,,$0.1527848,$0.0,26,7.158%,13.97,$337.24
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,13995,,313,,2.237%,$63.25,,$0.2020767,$0.0,50,8.459%,11.82,$747.69
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,4001,,126,,3.1489999999999996%,$39.17,,$0.310873,$0.0,25,11.19%,8.94,$350.04
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,3731,,39,,1.045%,$7.11,,$0.1823077,$0.0,4,19.533%,5.12,$36.4
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,2811,,43,,1.53%,$29.07,,$0.6760465000000001,$0.0,5,26.168000000000003%,3.82,$111.09
"Jun 11, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,289,,3,,1.038%,$3.2,,$1.0666666999999999,$0.0,0,0.0%,0.0,$0.0
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,3603,,85,,2.359%,$26.83,,$0.3156471,$0.0,15,10.184%,9.82,$263.45
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,874,,19,,2.174%,$18.69,,$0.9836842,$0.0,6,31.465%,3.18,$59.4
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,5496,,51,,0.928%,$37.57,,$0.7366667,$0.0,3,48.167%,2.08,$78.0
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,5824,,71,,1.2189999999999999%,$13.48,,$0.1898592,$0.0,12,6.808%,14.69,$197.99
